city,match,fieldorder,time
莫斯科,俄罗斯-沙特阿拉伯,1,6.14 23：00
叶卡特琳堡,埃及-乌拉圭,2,6.15 20：00
索契,葡萄牙-西班牙,3,6.16 02：00
圣彼得堡,摩洛哥-伊朗,4,6.15 23：00
喀山,法国-澳大利亚,5,6.16 18：00
萨兰斯克,秘鲁-丹麦,6,6.17 00：00
莫斯科,阿根廷-冰岛,7,6.16 21：00
加里宁格勒,克罗地亚-尼日利亚,8,6.17 03：00
顿河罗斯托夫,巴西-瑞士,9,6.18 02：00
萨马拉,哥斯达黎加-塞尔维亚,10,6.17 20：00
莫斯科,德国-墨西哥,11,6.17 23：00
下诺夫哥罗德,瑞典-韩国,12,6.18 20：00
索契,比利时-巴拿马,13,6.18 23：00
伏尔加格勒,突尼斯-英格兰,14,6.19 02：00
萨兰斯克,哥伦比亚-日本,15,6.19 20：00
莫斯科,波兰-塞内加尔,16,6.19 23：00
圣彼得堡,俄罗斯-埃及,17,6.20 02：00
顿河罗斯托夫,乌拉圭-沙特,18,6.20 23：00
莫斯科,葡萄牙-摩洛哥,19,6.20 20：00
叶卡特琳堡,法国-秘鲁,20,6.21 02：00
喀山,伊朗-西班牙,21,6.21 20：00
萨马拉,丹麦-澳大利亚,22,6.21 23：00
下诺夫哥罗德,阿根廷-克罗地亚,23,6.22 02：00
伏尔加格勒,尼日利亚-冰岛,24,6.22 23：00
圣彼得堡,巴西-哥斯达黎加,25,6.22 20：00
加里宁格勒,塞尔维亚-瑞士,26,6.23 02：00
顿河罗斯托夫,韩国-墨西哥,27,6.23 23：00
索契,德国-瑞典,28,6.24 02：00
莫斯科,比利时-突尼斯,29,6.23 20：00
下诺夫哥罗德,英格兰-巴拿马,30,6.24 20：00
喀山,波兰-哥伦比亚,31,6.25 02：00
叶卡特琳堡,日本-塞内加尔,32,6.24 23：00
萨马拉,乌拉圭-俄罗斯,33,6.25 22：00
伏尔加格勒,沙特-埃及,34,6.25 22：00
萨兰斯克,伊朗-葡萄牙,35,6.26 02：00
加里宁格勒,西班牙-摩洛哥,36,6.26 02：00
莫斯科,丹麦-法国,37,6.26 22：00
索契,澳大利亚-秘鲁,38,6.26 22：00
圣彼得堡,尼日利亚-阿根廷,39,6.27 02：00
顿河罗斯托夫,冰岛-克罗地亚,40,6.27 02：00
莫斯科,塞尔维亚-巴西,41,6.28 02：00
下诺夫哥罗德,瑞士-哥斯达黎加,42,6.28 02：00
喀山,韩国-德国,43,6.27 22：00
叶卡特琳堡,墨西哥-瑞典,44,6.27 22：00
加里宁格勒,英格兰-比利时,45,6.29 02：00
萨兰斯克,巴拿马-突尼斯,46,6.29 02：00
伏尔加格勒,日本-波兰,47,6.28 22：00
萨马拉,塞内加尔-哥伦比亚,48,6.28 22：00
索契,1/8决赛A1-B2,49,7.1 02：00
喀山,1/8决赛C1-D2,50,6.30 22：00
莫斯科,1/8决赛A2-B1,51,7.1 22：00
下诺夫哥罗德,1/8决赛C2-D1,52,7.2 02：00
萨马拉,1/8决赛E1-F2,53,7.2 22：00
顿河罗斯托夫,1/8决赛G1-H2,54,7.3 02：00
圣彼得堡,1/8决赛F1-E2,55,7.3 22：00
莫斯科,1/8决赛H1-G2,56,7.4 02：00
下诺夫哥罗德,1/4决赛49胜者-50胜者,57,7.6 22：00
喀山,1/4决赛53胜者-54胜者,58,7.7 02：00
索契,1/4决赛51胜者-52胜者,59,7.8 02：00
萨马拉,1/4决赛55胜者-56胜者,60,7.7 22：00
圣彼得堡,半决赛57胜者-58胜者,61,7.11 02：00
莫斯科,半决赛59胜者-60胜者,62,7.12 02：00
圣彼得堡,三四名决赛61负者-62负者,63,7.14 22：00
莫斯科,决赛61胜者-62胜者,64,7.15 23：00
